index,title,updated,detail_url,download_url,file,bytes,sha256
1,O-010-A10 普通違約及信用違約電腦作業手冊,115.06.01,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-010-A10 普通違約及信用違約電腦作業手冊_V1.20_20260601160239.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-010-A10 普通違約及信用違約電腦作業手冊_V1.20_20260601160239.doc,assets/source-files/O-010-A10_普通違約及信用違約電腦作業手冊.doc,763904,fdc9a354e1ae04c4598e383bd67de5e249a9ab1a0e6f05099bc50c8a77fd79fb
2,O-016-A10 各類資訊統計檔案電腦作業手冊,115.06.01,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-016-A10 各類資訊統計檔案電腦作業手冊_20260528_20260601093241.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-016-A10 各類資訊統計檔案電腦作業手冊_20260528_20260601093241.docx,assets/source-files/O-016-A10_各類資訊統計檔案電腦作業手冊.docx,431597,ab73ec44e3118c3ef49a1fbf77d3181673de62c2fb4a155e89ead13528773ba1
3,O-126-A10 TWSE集中市場即時交易資訊傳輸規格書(B.12.13)(202612),115.05.15,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/TWSE集中市場即時交易資訊傳輸規格書(B.12.13)(202612)_20260515151841.pdf,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/TWSE集中市場即時交易資訊傳輸規格書(B.12.13)(202612)_20260515151841.pdf,assets/source-files/O-126-A10_TWSE集中市場即時交易資訊傳輸規格書_B.12.13_202612.pdf,2453233,0b45724e7a5d6ddb4ee00943a6ec155a466ae245f2e0223a959e0f7f05a15af8
4,O-127-A10 Market Information Specification(B.12.13)(行情資訊傳輸作業手冊英文版)(202612),115.05.15,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/TWSE Market Information Transmission Operation Manual(B.12.13)(202612)_20260515151852.pdf,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/TWSE Market Information Transmission Operation Manual(B.12.13)(202612)_20260515151852.pdf,assets/source-files/O-127-A10_Market_Information_Specification_B.12.13_行情資訊傳輸作業手冊英文版_202612.pdf,2737996,fd9e7cd5d082b90ca07e806b1283d8f7373e10587b5d9a15427894ce784cc98a
5,O-101-A10 主機連線電腦作業手冊,115.03.16,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-101-A10-主機連線電腦作業手冊_20260316144442.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-101-A10-主機連線電腦作業手冊_20260316144442.doc,assets/source-files/O-101-A10_主機連線電腦作業手冊.doc,1399296,0fd38278e9a1e6f522706bc54c078729e7244fd0687588dad6a345fa2961f543
6,O-001-A10 一般交易電腦作業手冊,115.03.13,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-001-A10 一般交易電腦作業手冊_20250429_20250505095134_20260313094012.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-001-A10 一般交易電腦作業手冊_20250429_20250505095134_20260313094012.docx,assets/source-files/O-001-A10_一般交易電腦作業手冊.docx,176270,89e005799bdebbeb0a9e0aae2dafabb556e891edb24ed85d26c4a9ff340f2d3b
7,O-104-A10 集中市場當日全量備援電腦作業手冊,115.03.13,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-104-A10 集中市場當日全量備援電腦作業手冊_20230810154930_20260313094045.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-104-A10 集中市場當日全量備援電腦作業手冊_20230810154930_20260313094045.docx,assets/source-files/O-104-A10_集中市場當日全量備援電腦作業手冊.docx,3420104,3f4f80f6ab565a009dbcd16099eab56db360e28a65a9bf6b65976054fb45502a
8,O-021-A10 有價證券借貸後檯電腦作業手冊,115.02.06,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-021-A10 有價證券借貸後檯電腦作業手冊4.2_20260206102221.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-021-A10 有價證券借貸後檯電腦作業手冊4.2_20260206102221.doc,assets/source-files/O-021-A10_有價證券借貸後檯電腦作業手冊.doc,2290688,a22701f60c9707162bb176d296f0014c7fc6ab1bbd6b500d667d96fa8eb76928
9,O-027-A10 證券業務借貸款項電腦作業手冊,115.01.13,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-027-A10-證券業務借貸款項電腦作業手冊_20260113090506.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-027-A10-證券業務借貸款項電腦作業手冊_20260113090506.doc,assets/source-files/O-027-A10_證券業務借貸款項電腦作業手冊.doc,2068480,59a4af90f8dde9dac8230ff19f4d56b4a64eb5df06ceb41c3179870e1c8d1976
10,O-007-A10 信用交易電腦作業手冊,115.01.13,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-007-A10 信用交易電腦作業手冊_20260113090447.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-007-A10 信用交易電腦作業手冊_20260113090447.doc,assets/source-files/O-007-A10_信用交易電腦作業手冊.doc,2128384,1b5e7b9d1e04c04bb6c1f22799a8f2520407d3b3e6d38c35c1d165b882310a92
11,O-026-A10 權證暨ETF流動量提供者專用電腦作業手冊,114.12.15,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/權證暨ETF流動量提供者專用電腦作業手冊_20251215112737.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/權證暨ETF流動量提供者專用電腦作業手冊_20251215112737.doc,assets/source-files/O-026-A10_權證暨ETF流動量提供者專用電腦作業手冊.doc,173056,861491cdf7458978fff19689dc23bfc293eb355e2f7b07c7be606e29218f6106
12,O-125-A10 TWSE FIX 4.4 Specification (FIX 4.4電文規範作業手冊英文版),114.09.03,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/TWSE_NEW_FIX4.4SPEC_20250901_20250903094342.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/TWSE_NEW_FIX4.4SPEC_20250901_20250903094342.docx,assets/source-files/O-125-A10_TWSE_FIX_4.4_Specification_FIX_4.4電文規範作業手冊英文版.docx,954740,45b8af718dca0b7ad1fc3b2421641caa3e8e059af52a3d5f4d47aafa701399c5
13,O-128-A10 證券商備用競價設備系統-證券商使用手冊,114.08.27,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-128-A10 證券商備用競價設備系統-證券商使用手冊_20250827153551.pdf,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-128-A10 證券商備用競價設備系統-證券商使用手冊_20250827153551.pdf,assets/source-files/O-128-A10_證券商備用競價設備系統-證券商使用手冊.pdf,17328490,87dafd14b5c2ddb34fe9b95345cd2826d5a931736961e714f187763a07ac1fbf
14,O-008-A10 投資人開戶電腦作業手冊,114.08.11,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-008-A10 投資人開戶電腦作業手冊_20250811110813.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-008-A10 投資人開戶電腦作業手冊_20250811110813.doc,assets/source-files/O-008-A10_投資人開戶電腦作業手冊.doc,820736,549559d11ab398273bb49ac7a05cd2092513b387ac11c1645726c1d8b06a7dc2
15,O-124-A10 FIX4.4電文規範作業手冊,114.05.05,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-124-A10 FIX4.4電文規範作業手冊_TWSE_20250430_20250505095204.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-124-A10 FIX4.4電文規範作業手冊_TWSE_20250430_20250505095204.doc,assets/source-files/O-124-A10_FIX4.4電文規範作業手冊.doc,1976832,9f50b49f80cad41cc3d90c0ed08e0fe4ab1454bc5f13a8708b1093ec30e975d4
16,O-037-A10 TWSE盤中零股交易電腦作業手冊,114.05.05,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-037-A10 TWSE盤中零股交易電腦作業手冊_20250429_20250505094951_20250807164359.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-037-A10 TWSE盤中零股交易電腦作業手冊_20250429_20250505094951_20250807164359.docx,assets/source-files/O-037-A10_TWSE盤中零股交易電腦作業手冊.docx,68552,4d389d115ffc6117fd11251a8e0509f944eb66319ce35b63ff7c14d0225e7cf0
17,O-002-A10 零股交易電腦作業手冊,114.05.05,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-002-A10 零股交易電腦作業手冊_20250430_20250505095109_20250807164454.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-002-A10 零股交易電腦作業手冊_20250430_20250505095109_20250807164454.doc,assets/source-files/O-002-A10_零股交易電腦作業手冊.doc,220672,0360b024ef9887de1b1b0f6a7d5c3f8645e110a03929806863d44c5372e79040
18,O-019-A10 盤後定價交易電腦作業手冊,114.05.05,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-019-A10 盤後定價交易電腦作業手冊_20250429_20250505095043.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-019-A10 盤後定價交易電腦作業手冊_20250429_20250505095043.docx,assets/source-files/O-019-A10_盤後定價交易電腦作業手冊.docx,69463,ac8cebedc91e20a7036803af2e5ad1ea201ef2c062489193c2adfa1339fb89a1
19,O-031-A10 投信ETF電腦作業手冊,114.01.17,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-031-A10-投信ETF電腦作業手冊_20250121105617.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-031-A10-投信ETF電腦作業手冊_20250121105617.docx,assets/source-files/O-031-A10_投信ETF電腦作業手冊.docx,2843462,19abd0ddd7d3507e1f3bc36aad37d30e7dc91c47b6a8650edd3386a86120ae15
20,O-030-A10 證券商ETF電腦作業手冊,114.01.17,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-030-A10 證券商ETF電腦作業手冊_20250117160247.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-030-A10 證券商ETF電腦作業手冊_20250117160247.doc,assets/source-files/O-030-A10_證券商ETF電腦作業手冊.doc,978944,065d1ea85c155c115b75d0a97abb263f6b00ffd5da9770bf9f2a54f611bcab6b
21,O-020-A10 有價證券借貸前檯電腦作業手冊,114.01.06,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-020-A10-有價證券借貸前檯電腦作業手冊_20250106095126.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-020-A10-有價證券借貸前檯電腦作業手冊_20250106095126.doc,assets/source-files/O-020-A10_有價證券借貸前檯電腦作業手冊.doc,1064960,c84d0b859c7905988fb057fdadb066787deaf7b8eab976b388feaf1670274da8
22,O-022-A10 證券商有價證券借貸制度電腦作業手冊,113.11.28,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-022-A10 證券商有價證券借貸制度電腦作業手冊_20241128092258.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-022-A10 證券商有價證券借貸制度電腦作業手冊_20241128092258.docx,assets/source-files/O-022-A10_證券商有價證券借貸制度電腦作業手冊.docx,272831,cf398ddd008753510cf47b5e6bd68f55cd2bedb9ab2635f0821f5b7784f8e809
23,O-011-A10 補正借券電腦作業手冊,113.09.26,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-011-A10 補正借券電腦作業手冊_20240926090241.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-011-A10 補正借券電腦作業手冊_20240926090241.doc,assets/source-files/O-011-A10_補正借券電腦作業手冊.doc,159744,f856da9ed969a4c537060e716e35cb004c7523fa8cd1e0046d15a4401164b256
24,O-006-A10 公開申購配售電腦作業手冊,113.08.07,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-006-A10 公開申購配售電腦作業手冊_20240722_20240807142629.docx,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-006-A10 公開申購配售電腦作業手冊_20240722_20240807142629.docx,assets/source-files/O-006-A10_公開申購配售電腦作業手冊.docx,669620,ac4968f19848e93050a3dfabd40fdf71ea1b9dcc1990127d09ac0cbcfb6f70b1
25,O-034-A10 ETN申購賣回平台--發行人端電腦作業手冊,112.12.20,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-034-A10 ETN申購賣回平台--發行人端電腦作業手冊_20231220142452.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-034-A10 ETN申購賣回平台--發行人端電腦作業手冊_20231220142452.doc,assets/source-files/O-034-A10_ETN申購賣回平台--發行人端電腦作業手冊.doc,3529216,c16c5ba3acf7d7a10f2678da6ac0d3be727de8d1383849fcc887ac31722966f7
26,O-033-A10 ETN申購賣回平台--證券商端電腦作業手冊,112.12.20,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-033-A10 ETN申購賣回平台--證券商端電腦作業手冊_20231220142325.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-033-A10 ETN申購賣回平台--證券商端電腦作業手冊_20231220142325.doc,assets/source-files/O-033-A10_ETN申購賣回平台--證券商端電腦作業手冊.doc,2693120,ce97855a4a9edec7f3ba747203b23831f460f3aae71bc0ec989c680de0804fce
27,O-038-A10 股票造市者及交易獎勵參與者電腦作業手冊,111.08.12,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-038-A10 股票造市者及交易獎勵參與者電腦作業手冊_20220811_20220812112153.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-038-A10 股票造市者及交易獎勵參與者電腦作業手冊_20220811_20220812112153.doc,assets/source-files/O-038-A10_股票造市者及交易獎勵參與者電腦作業手冊.doc,196096,9eedf468610c17c93ba4e231e6cffa2dbc60836c468eac29579ec2fb71bfa0f2
28,O-035-A10 流動量提供者報價規則電腦作業手冊,111.08.12,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-035-A10 流動量提供者報價規則電腦作業手冊_20220809_20220812112020.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-035-A10 流動量提供者報價規則電腦作業手冊_20220809_20220812112020.doc,assets/source-files/O-035-A10_流動量提供者報價規則電腦作業手冊.doc,52224,72bbd029caf195339cfbfa268d87a8cb35f818a03c65c3c5f7712c79a3a8d206
29,O-029-A10 現股當日沖銷交易電腦作業手冊,109.10.12,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-029-A10 現股當日沖銷交易電腦作業手冊_20201012171225.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-029-A10 現股當日沖銷交易電腦作業手冊_20201012171225.doc,assets/source-files/O-029-A10_現股當日沖銷交易電腦作業手冊.doc,302204,271a35719e580cf1f9bcd910d6403d8b3e845cc5f25d5efc04b39af472468302
30,O-036-A10 聯徵中心負面資料查詢電腦作業手冊,109.03.02,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/聯徵中心負面資料查詢電腦作業手冊_20200302105147.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/聯徵中心負面資料查詢電腦作業手冊_20200302105147.doc,assets/source-files/O-036-A10_聯徵中心負面資料查詢電腦作業手冊.doc,208896,1c692f324397b251f2f3fa583173ca1179c1297ac4c13da0f61c67ffaad1604b
31,O-121-A10資訊交換平台有價證券借貸相關資料查詢作業手冊,108.09.02,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-121-A10資訊交換平台有價證券借貸相關資料查詢作業手冊_20190902101912.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-121-A10資訊交換平台有價證券借貸相關資料查詢作業手冊_20190902101912.doc,assets/source-files/O-121-A10資訊交換平台有價證券借貸相關資料查詢作業手冊.doc,670208,c25eaac107f480be8d48c2d4d8af5761c7d59f165a9853ae36fd7a368daae42b
32,O-024-A10 證金標購電腦作業手冊,108.07.03,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-024-A10 證金及借貸標購電腦作業手冊.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-024-A10 證金及借貸標購電腦作業手冊.doc,assets/source-files/O-024-A10_證金標購電腦作業手冊.doc,251392,94c28139ab7e51448728b0244172d09e8aa0813a64d4c4975996ca967b8c09f3
33,O-004-A10 標借電腦作業手冊,108.07.03,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-004-A10 標借電腦作業手冊.docx,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-004-A10 標借電腦作業手冊.docx,assets/source-files/O-004-A10_標借電腦作業手冊.docx,75950,6c823d506b93b3409190dc1877c79c4f046b387de7e662ab5e9d059c78312537
34,O-018-A10 標購電腦作業手冊,108.07.03,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-018-A10 標購電腦作業手冊.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-018-A10 標購電腦作業手冊.doc,assets/source-files/O-018-A10_標購電腦作業手冊.doc,266752,2648204529dca5f3743e79c454923d504a0e028be6627852ae166696f223800c
35,O-005-A10 上市證券拍賣電腦作業手冊,108.07.03,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-005-A10 拍賣電腦作業手冊.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-005-A10 拍賣電腦作業手冊.doc,assets/source-files/O-005-A10_上市證券拍賣電腦作業手冊.doc,274432,336316b0f8d7945fa56cd92a4642fc363e76722eb12b6be89e93977297fbf976
36,O-012-A10 借戶賣出股票申報電腦作業手冊,108.06.21,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-012-A10借戶賣出電腦作業手冊.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/O-012-A10借戶賣出電腦作業手冊.doc,assets/source-files/O-012-A10_借戶賣出股票申報電腦作業手冊.doc,161792,d501a569af4e563cb98b9960d060042c2124a6ea70d284c81d62b955013f0f24
37,O-025-A10 綜合交易帳號電腦作業手冊,108.05.22,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/綜合交易帳戶電腦作業手冊20190521.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/綜合交易帳戶電腦作業手冊20190521.doc,assets/source-files/O-025-A10_綜合交易帳號電腦作業手冊.doc,1202688,ac3aabdb81cad8a94feb6d39a6aa2912cc82ebc1c0da136cbc8e698f506e7c90
38,O-032-A10 證券商受託辦理定期定額買賣有價證券業務,108.05.21,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/定期定額.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/定期定額.doc,assets/source-files/O-032-A10_證券商受託辦理定期定額買賣有價證券業務.doc,408576,f1aa9a0746cb4ba94611156874e68d38d6d875966f5ac6151b95b96de843f777
39,O-009-A10 錯帳及更正帳號電腦作業手冊,108.05.21,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/錯帳及更正帳戶.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/錯帳及更正帳戶.doc,assets/source-files/O-009-A10_錯帳及更正帳號電腦作業手冊.doc,585216,5b78048790380ab846bc2eb106fd7952261805a2f1c1f2fec04f4ea5d20c4114
40,O-003-A10 鉅額逐筆交易電腦作業手冊,107.10.23,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-003-A10 鉅額逐筆交易電腦作業手冊_20200910173233.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-003-A10 鉅額逐筆交易電腦作業手冊_20200910173233.doc,assets/source-files/O-003-A10_鉅額逐筆交易電腦作業手冊.doc,316416,9201e5824a4bf0e876bd9938d6708e62f10668848498738c1467060a0e61defd
41,O-003-A10 鉅額配對交易電腦作業手冊,107.10.23,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-003-A10 鉅額配對交易電腦作業手冊_20200910172247.doc,https://dsp.twse.com.tw/public/static/downloads/computerPlanningOperationsDepartment/O-003-A10 鉅額配對交易電腦作業手冊_20200910172247.doc,assets/source-files/O-003-A10_鉅額配對交易電腦作業手冊.doc,438784,6c2f48e8a5d812d7bff2c7ad4db21ff1b6bacabe1084a367798e4741f5706c55
42,O-013-A10 證券商聯合徵信電腦作業手冊,105.03.15,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000163.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000163.doc,assets/source-files/O-013-A10_證券商聯合徵信電腦作業手冊.doc,283136,d7602a5fcbfe3c66c9bb74dfa8042edabeaa7da429824fe0ed2ded140942d5e1
43,O-108-A10 第二路檔案傳輸電腦作業手冊,104.12.09,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000059.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000059.doc,assets/source-files/O-108-A10_第二路檔案傳輸電腦作業手冊.doc,43008,524f0a14fde7892af4f70cc58a10623796fd2afc03b6526da8806bc554a0f7bd
44,O-107-A10 證券商申請第二成交回報通道及TCPIP網路擴充版成交回報電腦作業手冊,104.12.09,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000044.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000044.doc,assets/source-files/O-107-A10_證券商申請第二成交回報通道及TCPIP網路擴充版成交回報電腦作業手冊.doc,60928,f7bf9f272b37df9a2053106a1384657f12c2d6b6493773846988d24f5b93b311
45,O-106-A10 資訊交換平台主機連線電腦作業手冊,104.12.09,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000043.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000043.doc,assets/source-files/O-106-A10_資訊交換平台主機連線電腦作業手冊.doc,668672,d6990f64ab7b119f1867e8c90aa27a5910da5d378b2e3cdb6b100ac564b38772
46,O-105-A10 TCPIP網路主機連線電腦作業手冊,104.12.09,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000042.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000042.doc,assets/source-files/O-105-A10_TCPIP網路主機連線電腦作業手冊.doc,774656,c469d4beb31867e69454ba1aba162651afdc54d42caa6ab82655f2d47e63867c
47,O-023-A10 證金議借交易電腦作業手冊,103.06.26,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000181.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000181.doc,assets/source-files/O-023-A10_證金議借交易電腦作業手冊.doc,138752,b0d827564bbef17cde22bba1fc78c8ea30b7f84e7b4626c56f2259a4e39c0f7e
48,O-028-A10-「證券商辦理客戶委託保管及運用其款項操作辦法」之電腦作業手冊,99.12.20,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000090.doc,https://dsp.twse.com.tw/public/static/downloads/brokerDepartment/b002000090.doc,assets/source-files/O-028-A10-_證券商辦理客戶委託保管及運用其款項操作辦法_之電腦作業手冊.doc,2427392,f1295541c7a273b2f7550f36ea4132b770b6e767a1afaf9d96af296b798fc7f9
